text,keyword,label
 Thanks!   I`m making homemade lasagna for my mum today.,Thanks!   I`m making homemade lasagna for my mum today.,neutral
going to get waterguns from tesco today   haha.   its sunny.,going to get waterguns from tesco today   haha.   its sunny,neutral
 I`ll keep that in mind when he gets tonked for 40 off his 4 overs.,I`ll keep that in mind when he gets tonked for 40 off his 4 overs.,neutral
 I was afraid you were going to say that.,afraid,negative
 Not enough time for Disney World.... might just have to watch the Disney channel instead.,Not enough time for Disney World.... might just have to watch the Disney channel instead.,neutral
_O Awesome! My family owns it...The Flowers.. and we love having your kids there! They seem to have lots of fun!!,we love,positive
#bgt Will Holly take being paraded on stage again for potential rejection?,#bgt Will Holly take being paraded on stage again for potential rejection?,neutral
my eyes hurts..,hurts..,negative
On way to Birmingham.. Sewing in the van. Punk.,On way to Birmingham.. Sewing in the van. Punk.,neutral
 she`s just finished!  The Pretenders now. x,she`s just finished!  The Pretenders now. x,neutral
 ohhh baby!!! PDGG! ahh! im missing it! ahhh  hehaheahaaaa,missing,negative
@_kotenok !!  ... maybe they took one look at you and said 'That`s our girl!',@_kotenok !!  ... maybe they took one look at you and said 'That`s our girl!',neutral
Still up playin rock band woot woot,Still up playin rock band woot woot,neutral
"Okay, seriously. you`re all going to have to forgive me while I gush like a little fangirl for a few tweets","Okay, seriously. you`re all going to have to forgive me while I gush like a little fangirl for a few tweets",neutral
i`m probably the only person in the world that uses tweetie from my ipod touch & not an iphone  ghetto? haha,i`m probably the only person in the world that uses tweetie from my ipod touch & not an iphone  ghetto? haha,neutral
 Yeah I replied!! I meant to take a photo of my drink but I was laaazy and didnt`  x,Yeah I replied!! I meant to take a photo of my drink but I was laaazy and didnt`,neutral
YES!  I have my e-mail down to one window (most of which are marked for follow-up on Monday).  all the dang paper still here tho,YES!  I have my e-mail down to one window (most of which are marked for follow-up on Monday).  all the dang paper still here tho,neutral
 http://twitpic.com/4w9zb - must... stick.. my... thumb.. in .. chin... dimple!! lol  my hubby has one lol  but his is un ...,http://twitpic.com/4w9zb - must... stick.. my... thumb.. in .. chin... dimple!! lol  my hubby has one lol  but his is un ..,neutral
 may I please have a couple promo codes to your EA apps? Thanks so much!,? Thanks,positive
 so make the most of it  enjoy,enjoy,positive
Zapatos for trashcan nachos and then an epic night,epic,positive
can`t stop playing Fallout 3!  This game is addictive like crack!!  It`s bad when you dream that your repairing guns in your sleep,s bad,negative
 HMM Gonna go with ran 4 miles and hit the gym... now time to wake the kids up,HMM Gonna go with ran 4 miles and hit the gym... now time to wake the kids up,neutral
" and : Aww, thank you!  I love you girls<333333",I love,positive
at homee. bored plzz! someone txt me about doing something this weekend.,bored,negative
Ok so 4 needs to hurry up and come wtf I wanna go hooooommmeeee!,wtf I wanna go hooooommmeeee!,negative
I need words of inspiration  where`s  and  when you need them??,I need words of inspiration,positive
is about to go into her last final.  happiness!,happiness!,positive
_x3 you are too sweet girl!! My food was soooo good,too sweet,positive
people in my house do not know how to close doors,do not know how to close doors,negative
My throat hurts,My throat hurts,negative
"At this point, I`m gonna be left here with only Tommy. He is no prize.",He is no prize.,negative
My son had surgery yesterday so mommy and son time won`t be as long today,My son had surgery yesterday so mommy and son time won`t be as long today,negative
mmm much better day... so far! it`s still quite early. last day of #uds,much better day..,positive
 man i missed it!! Ive been waitn all day 4 u 2 giv the tix away & then whn im rappn up @ wrk u gav my tix away! Im sad!,man i missed it!!,negative
" I wish I can see that. They have CNN here again, with no volume.",wish,positive
_Call awww i wish i could but i have no talking minutes,_Call awww i wish i could but i have no talking minutes,neutral
 WOW AND TO THINK SOME PEOPLE ACTUALLY REALLY DO LIVE IN THE JUNGLE BUT DONT GET TO GO BACK TO A HOTEL.,WOW AND TO THINK SOME PEOPLE ACTUALLY REALLY DO LIVE IN THE JUNGLE BUT DONT GET TO GO BACK TO A HOTEL.,neutral
 Bummer I know   LOL  I actually do more partying when i am in school then out of school..I think it somehow helps me..hahaha!,ol..I think it somehow help,positive
 aaaa i cant go to his pagee  It really exist?,aaaa i cant go to his pagee  It really exist?,neutral
" Yeah im following you, Hun! Goodnight",Goodnight,positive
"Back in lancaster bored already, can`t wait to start work! Missing hel!","Back in lancaster bored already, can`t wait to start work! Missing hel!",negative
 Agfest? it was pretty awesome.. loads of people were there lol,pretty awesome.,positive
listening to `s Without Your Love...hes so tortured in that song...makes me sad,sad,negative
shoutout to all the beautiful moms out there that these niggas dont appreciate! some one cares Happy Mothers Day!,shoutout to all the beautiful moms out there that these niggas dont appreciate! some one cares Happy Mothers Day!,neutral
Dropped my lei off at the cemetary.,Dropped my lei off at the cemetary.,neutral
_sis He got those cars before he lost his job.  He used to make good money. Now he works at McDonalds because nobody will hire him.,_sis He got those cars before he lost his job.  He used to make good money. Now he works at McDonalds because nobody will hire him.,neutral
still having a hangover,still having a hangover,neutral
 lame. you should have said hello!,lame.,negative
" Hehe you`re right, I`m not daft  May is a good month to be on a French contract!",d month,positive
boooo on life decisions....bottle of wine be my lucky eight ball tonight,lucky,positive
 anywayss to the point i am dying to spend my summer over there or somewhere hot with you guys,anywayss to the point i am dying to spend my summer over there or somewhere hot with you guys,neutral
Seems like 60 min wait time  should I call the wife now,Seems like 60 min wait time  should I call the wife now,neutral
 V?a cï¿½n m?c 800/day t?i qua,V?a cï¿½n m?c 800/day t?i qua,neutral
 maybe it`ll listen to you  dude it`s like three in the morning. what time is it over there?,maybe it`ll listen to you  dude it`s like three in the morning. what time is it over there?,neutral
hiccups,hiccups,neutral
" Thanks to TweetStats, I confirmed what I long suspected: Twitter is keeping me up way too late!  http://tr.im/kpc1 ","Thanks to TweetStats, I confirmed what I long suspected: Twitter is keeping me up way too late!",negative
"   Is it me (my machine)? or... Vids freeze up, halt whole blip stream  ? http://blip.fm/~79l0q","Is it me (my machine)? or... Vids freeze up, halt whole blip stream  ? http://blip.fm/~79l0",neutral
 no labels?  Sorry I know I`m really needy.,no labels?  Sorry I know I`m really needy.,negative
 heyyyyyyyyyyyyyya,heyyyyyyyyyyyyyya,neutral
 omg! shannon Happy Birthday!!!! I`m celebrating for you!,shannon Happy Birthday!!!!,positive
and its over now  watch on now? hmmm,and its over now,negative
WHAT DO YOU WANT FROM ME?!  I`m awake.,WHAT DO YOU WANT FROM ME?!  I`m awake.,neutral
 drugs are bad,drugs are bad,neutral
haha aww ok now back to bionomial expansion  ugh! joy,ugh!,negative
"Watching Twilight again  !!! <3 I`m watching the Audio Commentary, it`s sooo funny ;)","<3 I`m watching the Audio Commentary, it`s sooo funny",positive
 Nothing definite yet..and the show is in a week   I may just be resorted to giving them away,Nothing definite yet..and the show is in a week   I may just be resorted to giving them away,neutral
"Also I popped the phone open and got all that goddamn dust out, but I wore out a clip on the camera panel so I had to glue it shut",goddamn,negative
Legs are hurting because I was standing up all day.,Legs are hurting because I was standing up all day.,negative
" Ha, if i was , I would be pointing out the irony of that last spelling mistake. With swearing.",swearing.,negative
bad timing- a new mommy just called for newborn pictures and I can`t fit the baby into my schedule no matter how hard I try,bad,negative
Its raning!!! -_- really bad,really bad,negative
 i`m still crossing my fingers for a fun group,for a fun group,positive
" I`d help you if I weren`t poorer than you lol! I`m mexican living in .mx, which automatically makes me 13 times poorer","I`d help you if I weren`t poorer than you lol! I`m mexican living in .mx, which automatically makes me 13 times poorer",negative
@ work.. This week some new instrumentals.. stay updated,@ work.. This week some new instrumentals.. stay updated,neutral
 awww my trini no esata bien bendito  too bad i cant fly in and make u feel better,too bad i cant fly in and make u feel better,neutral
"Just got done with my first day of work and is exsausted, sweaty, and chalky.","Just got done with my first day of work and is exsausted, sweaty, and chalky.",negative
Also...     #travel #backpacking hope you enjoy our pics & videos,you enj,positive
ah seriously i dont even work with children some how i am still sick!  groundhog friday just got worse.,sick!,negative
Happy mothers day to all of you amazing moms!! Hope you have a wonderful day with your loved ones. You deserve it!!  You do a great job!,loved,positive
Excited bout going out 2nite but bummed cuz im da designated driver. So no drinking for Angie!,Excited bout going out 2nite but bummed cuz im da designated driver. So no drinking for Angie!,neutral
"ending my evening on the best note.  i will love you forever, tweets.",love,positive
  16 too   crazy about miley and JB and in love with Nick Jonas haha,in lo,positive
 Jars was gonna be my answer,Jars was gonna be my answer,neutral
: thanks!  and you being #80 just made my morning!,: thanks!,positive
 ok I just love it when big buff tattoed (preferably Christian)  men strut...fluffy dogs are optional,love,positive
_artillero Hahaha. Sana someone`s selling the full version of 'Coding Workshop Photo Recovery Wizard' CD! Demo mode lang eh,_artillero Hahaha. Sana someone`s selling the full version of 'Coding Workshop Photo Recovery Wizard' CD! Demo mode lang eh,neutral
Is losing money in Vegas...,Is losing money in Vegas...,negative
Up earlier because of a stupid orthadontist appointment,stupid,negative
He is so silly.  http://twitpic.com/4jk6b,He is so silly.,negative
 why you will so little time in rio de janeiro? forgive babelfish!,why you will so little time in rio de janeiro? forgive babelfish!,neutral
 Is beastypops tired? I wish i was. My tablets are just making me want to throw up!,just making me want to throw up!,negative
 it feels like ages away! More than 5 months,it feels like ages away!,negative
 you are a good child.,you are a good child.,positive
"Chillin with my Family. We are getting tacos from Ochoa`s, they have the best food in all Washington county",Chillin,positive
"Hi, my name is Kate and I`m addicted to mm`s!",addicted,negative
Be beautiful        http://www.theskinsociety.com,Be beautiful,positive
" sweet  i should have something new to show you by then, too",sweet,positive
Again documentation day,Again documentation day,neutral
 i cannot deal w/ this tweet. lol.,i cannot deal,negative
 aww  i guess not that many people are online though...,aww,negative
"I hate traffic. Dallas is nothing, but traffic!",hate,negative
_fan Been busy trumping your cheese omlette with a cheese and chili omlette. An omnomlette,_fan Been busy trumping your cheese omlette with a cheese and chili omlette. An omnomlette,neutral
_KittyKat  so now im bored..untill i go out,im bored.,negative
"o, and happy mothers day",happy mothers day,positive
 I just got my JAGK shirt in the mail! Omg I love it!!!  see you saturday!!,g I love it!,positive
   someone is ignoring me  & being mean..,is ignorin,negative
Join the biggest and bestest group on facebook  http://bit.ly/cDrbt,bestest,positive
i hate going to work.,hate,negative
" helllllloooooooooooo tom, gig tonight? sorry im not sure when your shows are over there! miss you in the UK  HI HI HI HI HI ****",sorry im not sure when your shows are over there! miss you,negative
 I really want to!! But it`s one of my few free weekends that month and am booking clients  Mama needs to make money.,I really want to!! But it`s one of my few free weekends that month and am booking clients  Mama needs to make money.,neutral
 that is really brilliant!,that is really brilliant!,positive
Ugh what an amazing night. Time for bed! I know i`m gonna sleep well. And with no getting up early!  good night!,amazing,positive
I learned the Hoedown Throwdown!,I learned the Hoedown Throwdown!,neutral
Doing my fieldwork databook. Slept awkwardly. Bones all sore.,awkwardly.,negative
 lol ! You take David lah ! I want Danny  not tom !,lol ! You take David lah ! I want Danny  not tom,neutral
" I know told you, and it tells you last tweets and all.  Just can`t get it to play music.  Have it set, but it won`t play","I know told you, and it tells you last tweets and all.  Just can`t get it to play music.  Have it set, but it won`t pla",neutral
 that is comedy  good luck my friend!,good,positive
  I`m sorry to hear that. Here is my optimist: Things will get better. For all of us.,m sorry,negative
Experiencing pain with paginating ASP.NET ListView controls,pain,negative
fuming over ebay purchase gone bad. outta $45 and have nothing to show for it  %$&!,fuming over ebay purchase gone bad.,negative
   DECEMBER... thats like a year away...,DECEMBER... thats like a year away...,neutral
I got into a fight with the pavement. I think it won  poor little knee,poor little knee,negative
" I think that`s pretty awesome. I could quote LOTR:ROTK for one summer, but now I can`t anymore.",s pretty awesome.,positive
Very lonely here in Gosforth gallery  but excited for meal at Six followed by Antony and the Johnsons tonight. Woohoo!!,Antony and the Johnsons tonight. Woohoo!!,positive
OMG I FINISHED MY HISTORY CHILDRENS BOOK!!!! JUST NEED 2 MAKE IT PRETTY AND PRINT IT OFF AND IM DONE!!! WHOO!!!,OMG I FINISHED MY HISTORY CHILDRENS BOOK!!!! JUST NEED 2 MAKE IT PRETTY AND PRINT IT OFF AND IM DONE!!! WHOO!!!,neutral
" if I could make it to Philadelphia this year I would be there!! but sadly, i cannot","but sadly, i cannot",negative
 thanks  I`ll check those out.,thanks,positive
Less or more iTunes tuned up,Less or more iTunes tuned up,neutral
Buenos Dias mundo de Twitter  eating b-fast and watching 'sex on fire' video b4 I go to work !,Buenos Dias mundo de Twitter  eating b-fast and watching 'sex on fire' video b4 I go to work !,neutral
just got home.  errrr... V.Luna hospital is so far. :|,so far.,negative
 ...i had a yay moment today  YAY hope you did too!,YAY,positive
So so happy to be with  - she even makes doing laundry wonderful,So so happy to be with  - she even makes doing laundry wonderful,positive
at home and sick    http://yfrog.com/17zw1j,sick,negative
so busy already,so busy already,neutral
is NOT watching Star Trek tonight. But is heading to a lovely dinner and fun board games night with ,lovely,positive
"Whataburger closing all locations but tally  so harsh, might have to transfer schools","harsh,",negative
Hello twitting world!  We are off to best buddies bbq  but untill then Jay z is on Spotify,best,positive
shes so cute when shes sleepy,shes so cute when shes sleepy,positive
"i finished new moon  in 1 day all up. maybe less, im quite proud, now who wants to lend me eclipse haha","i finished new moon  in 1 day all up. maybe less, im quite proud, now who wants to lend me eclipse haha",neutral
 I sent you a message.,I sent you a message.,neutral
posted a few pics of my college on my myspace www.myspace.com/katieheidie,posted a few pics of my college on my myspace www.myspace.com/katieheidie,neutral
" Hey OJ, I just want to ask, you hooked up with somebody ayt now?","Hey OJ, I just want to ask, you hooked up with somebody ayt now?",neutral
 i am jealous of your mom talking to . i want to see you all our twittering is making me miss you,i want to see you all our twittering is making me miss you,negative
"Oh and PS. Since it is already 12:30, I should probably say 'Happy Mother`s Day' to my Mom and all the mothers out there!",Happy,positive
 AGAIN AGAIN.,AGAIN AGAIN.,neutral
"My nose is chapped, yuck",yuck,negative
"Uuu, am din nou PR 4. Yeey, my epenis is now bigger! ... ... ...","Uuu, am din nou PR 4. Yeey, my epenis is now bigger! ... ... ...",neutral
"World`s Happiest Places ...   Denmark, Finland and the Netherlands",World`s Happiest Places,positive
 finally -- someone recognizes my genius,genius,positive
My truss failing  http://yfrog.com/154upj,My truss failing,negative
" BAH, you`be made me all hungry now","BAH,",negative
  i just saw your performance on the ellen show. we`re so behind in australia  you were AMAZING and have such a wonderful voice!,ere AMAZIN,positive
This weekend is completely different from last weekend.,This weekend is completely different from last weekend.,neutral
_22 ok so I`m having a complete insomniac moment. It`s 6am(almost) and I`m STILL awake. I hate when I can`t stop thinking!  mornin!,I hate when I can`t stop thinking!,positive
 you are adorable,you are adorable,positive
 Go to Campos on Missendon Road in Newtown. Ask for Ben. And discover how great coffee can be,great,positive
 they`re at the bottom of the thing and aren`t moving at all. feels bad man.,feels bad,negative
 that movie is awesome!,awesome!,positive
" Hello, you are sooo awesome!! Dont ever stop what your doing haha, You make me fall off my chair laughing  x",sooo awesome!!,positive
Aim:iloveshawniedur,Aim:iloveshawniedur,neutral
 I am so sorry!!  That really sucks,I am so sorry!!  That really sucks,negative
Crappy Day...,Crappy,negative
 Sent u a few DM`s..Hollaback,Sent u a few DM`s..Hollaback,neutral
**** elora danan are breaking up  too and im missing their last nsw show too  def need to hit up melbs !! someone come with ?,**** elora danan are breaking up  too and im missing their last nsw show too  def need to hit up melbs !! someone come with,negative
"actually just woke up, going to attempt to see 17 again with Natalyy","actually just woke up, going to attempt to see 17 again with Natalyy",neutral
_carter can`t see it it says 'This video is private.',_carter can`t see it it says 'This video is private.',neutral
I was crying all of Tuesday cos I find out! ;( .... Economics is offically my crying subject lol,crying,negative
listening to jubey snoring on the phone  hehe goodnight,goodnight,positive
Sunday morning,Sunday morning,neutral
 Burst my bubble!,Burst my bubble!,neutral
 god I need to revise today! I`m so lazy,o lazy,negative
